Components,100 Samples,1000 Samples,10000 Samples,100000 Samples
2,23,0,0,0
3,29,0,0,0
4,43,0,0,0
5,22,108,119,120
6,3,10,1,0
7,0,2,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
